Student_id;Unit_id;Semester;Note;BNF
0;143064;4018;NT;5
0;143132;4018;NT;5
0;143133;4018;NT;5
0;143135;4018;NT;5
0;143137;4018;NT;5
0;143006;4018;NT;5
0;143065;4018;belegt;E
0;143133;4018;belegt;E
0;143135;4018;belegt;E
1;143132;4026;2.3;5
1;143133;4026;1.3;5
1;143135;4026;2.3;5
1;143137;4026;2.3;5
1;143006;4026;2.3;5
1;143144;4026;1.3;5
1;143009;4026;2.3;5
1;143010;4026;2.3;5
1;143164;4026;1.7;5
1;143147;4026;2.3;5
1;143013;4026;2.3;5
1;143140;4026;2.3;5
1;143153;4026;2.3;5
1;143169;4026;2.3;5
1;143149;4026;3.3;5
1;143019;4026;4;5
1;143158;4026;2.3;5
1;143156;4026;2.3;5
1;143166;4026;3.3;5
1;143168;4026;2.3;5
1;143033;4026;2.3;5
1;143133;4026;m.E.;E
1;143135;4026;m.E.;E
1;143039;4026;m.E.;E
1;143040;4026;m.E.;E
1;143041;4026;m.E.;E
1;143164;4026;m.E.;E
1;143147;4026;m.E.;E
1;143044;4026;m.E.;E
1;143140;4026;m.E.;E
1;143050;4026;m.E.;E
1;143051;4026;m.E.;E
1;143061;4026;m.E.;E
1;143064;4026;4;5
1;143065;4026;m.E.;E
1;143066;4026;4;5
1;143067;4026;m.E.;E
1;143151;4026;3.3;5
1;143069;4026;m.E.;E
1;143165;4026;4;5
1;143165;4026;m.E.;E
1;143167;4026;3.3;5
1;143167;4026;m.E.;E
1;143163;4026;m.E.;E
1;143163;4026;1.3;5
1;143163;4026;3.3;5
1;143166;4026;m.E.;E
1;143153;4026;m.E.;E
1;143156;4026;m.E.;E
1;143169;4026;m.E.;E
1;143149;4026;m.E.;E
1;143105;4026;1.3;5
1;143106;4026;m.E.;E
1;143063;4028;1.3;5
2;143009;4035;2.3;5
2;143013;4035;1.3;5
2;143064;4035;2.3;5
2;143066;4035;3.3;5
2;143132;4035;2.3;5
2;143133;4035;NT;5
2;143137;4035;2.3;5
2;143144;4035;2.3;5
2;143147;4035;2.3;5
2;143149;4035;5;5
2;143149;4035;NT;5
2;143151;4035;2.3;5
2;143153;4035;NT;5
2;143165;4035;4;5
2;143168;4035;2.3;5
2;143173;4035;1.3;5
2;143179;4035;1.3;5
2;143133;4036;NT;5
2;143135;4036;2.3;5
2;143140;4036;NT;5
2;143153;4036;NT;5
3;143064;4031;5;5
3;143064;4031;NT;5
3;143132;4031;3.3;5
3;143133;4031;2.3;5
3;143135;4031;3.3;5
3;143137;4031;NT;5
3;143009;4032;NT;5
3;143064;4032;2.3;5
3;143064;4032;NT;5
3;143137;4032;NT;5
3;143140;4032;NT;5
3;143164;4032;NT;5
3;143009;4033;NT;5
3;143066;4033;NT;5
3;143137;4033;NT;5
3;143140;4033;NT;5
3;143164;4033;NT;5
3;143169;4033;5;5
3;143169;4033;NT;5
3;143009;4034;NT;5
3;143066;4034;NT;5
3;143168;4034;NT;5
3;143168;4035;NT;5
4;143066;4019;NT;5
4;143132;4019;5;5
4;143133;4019;NT;5
4;143133;4019;2.3;5
4;143135;4019;2.3;5
4;143137;4019;NT;5
4;143066;4020;4;5
4;143066;4020;NT;5
4;143132;4020;2.3;5
4;143137;4020;NT;5
4;143137;4020;2.3;5
4;143164;4020;3.3;5
4;143009;4021;1.3;5
4;143010;4021;NT;5
4;143064;4021;NT;5
4;143144;4021;1.7;5
4;143151;4021;4;5
4;143151;4021;NT;5
4;143010;4022;5;5
4;143010;4022;NT;5
4;143013;4022;NT;5
4;143013;4022;1.7;5
4;143169;4022;NT;5
4;143149;4022;NT;5
4;143064;4022;NT;5
4;143064;4022;1.7;5
4;143147;4022;NT;5
4;143147;4022;1.7;5
4;143153;4022;3.3;5
4;143153;4022;NT;5
4;143169;4022;2.3;5
4;143010;4023;4;5
4;143010;4023;NT;5
4;143019;4023;NT;5
4;143163;4023;belegt;E
4;143163;4023;NT;5
4;143149;4023;NT;5
4;143149;4023;2.3;5
4;143156;4023;NT;5
4;143158;4023;NT;5
4;143165;4023;NT;5
4;143166;4023;NT;5
4;143019;4024;NT;5
4;143105;4024;1.3;5
4;143140;4024;2.3;5
4;143140;4024;NT;5
4;143156;4024;NT;5
4;143158;4024;NT;5
4;143167;4024;NT;5
4;143167;4024;1.7;5
4;143168;4024;5;5
4;143168;4024;NT;5
4;143099;4025;NT;5
4;143100;4025;belegt;E
4;143100;4025;NT;E
4;143158;4025;2.3;5
4;143168;4025;2.3;5
4;143168;4025;NT;5
4;143019;4026;NT;5
4;143019;4026;2.3;5
4;143165;4026;2.3;5
4;143165;4026;NT;5
4;143166;4026;2.3;5
4;14371;4026;3.3;5
4;143156;4027;3.3;5
4;143156;4027;NT;5
4;143163;4028;1.7;5
4;143162;4029;NT;E
4;143162;4030;m.E.;E
5;143132;4028;5;5
5;143132;4028;NT;5
5;143133;4028;3.3;5
5;143135;4028;NT;5
5;143137;4028;NT;5
5;143006;4028;5;5
5;143006;4028;NT;5
5;143133;4028;m.E.;E
5;143135;4028;belegt;E
5;143135;4028;o.E.;E
5;143064;4028;NT;5
5;143065;4028;belegt;E
5;143065;4028;NT;E
6;143133;4013;1.7;5
6;143010;4013;NT;5
6;143153;4013;NT;5
6;143169;4013;NT;5
6;143149;4013;NT;5
